Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
543,Joe Milton,25,DAL,QB,4,0,0,0,0,,0,0,,,0.0,0.0,,,1,,MiltJo00
544,Kendall Milton,23,CIN,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MiltKe01
545,Gardner Minshew II,29,KAN,QB,4,1,0,0,0,,0,0,,,0.0,0.0,,,0,,MinsGa00
546,Elijah Mitchell,27,KAN,RB,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,MitcEl00
547,Nick Mullens,30,JAX,QB,5,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MullNi00
548,Kalel Mullings,23,TEN,RB,9,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MullKa00
549,Kyler Murray,28,ARI,QB,5,5,0,0,0,,0,0,,,0.0,0.0,,,1,,MurrKy00
550,Bo Nix,25,DEN,QB,17,17,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,4,,NixxBo00
551,Kene Nwangwu,27,NYJ,RB,12,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,NwanKe00
552,Aidan O'Connell,27,LVR,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,OConAi00
553,Chris Oladokun,28,KAN,QB,3,2,0,0,0,,0,0,,,0.0,0.0,,,4,,OladCh00
554,Coleman Owen,24,IND,WR,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,OwenCo00
555,Michael Penix,25,ATL,QB,9,9,0,0,0,,0,0,,,0.0,0.0,,,4,,PeniMi00
556,Trevor Penning,26,LAC,OT,7,4,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,PennTr00
557,Kenny Pickett,27,LVR,QB,6,2,0,0,0,,0,0,,,0.0,0.0,,,1,,PickKe00
558,Dameon Pierce,25,2TM,RB,5,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,PierDa01
558,Dameon Pierce,25,HOU,RB,4,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,PierDa01
558,Dameon Pierce,25,KAN,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,PierDa01
559,Isaiah Pola-Mao,26,LVR,S,17,17,0,0,0,,0,0,,,0.0,0.0,,,0,,PolaIs00
560,Dak Prescott,32,DAL,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,6,PBAP CPoY-3,PresDa01
561,Brock Purdy,26,SFO,QB,9,9,0,0,0,,0,0,,,0.0,0.0,,,3,,PurdBr00
