Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
333,Elijah Moore,BUF,WR,25,9,2,0,0,0,0,0,6,24,4.00,1,17,9,112,12.44,0,0,0,1,,,20,28.6,31.6,24.1,,135,,MoorEl00
334,Elijah Moore,DEN,WR,25,0,0,,,,,,,,,,,,,,,,,0,,,20,,,,,135,,MoorEl00
335,Theo Wease,MIA,WR,24,3,0,0,0,0,0,0,0,0,,0,10,6,139,23.17,1,0,0,1,,,20,25.9,28.9,22.9,,134,,WeasTh00
336,Jaydon Blue,DAL,RB,21,5,0,0,0,0,0,0,38,129,3.39,1,1,1,5,5.00,0,1,0,1,,,19,20.4,23.4,19.9,,84,,BlueJa01
337,Treylon Burks,WAS,WR,25,8,3,0,0,0,0,0,0,0,,0,22,10,130,13.00,1,0,0,1,,,19,29.0,32.0,24.0,,136,,BurkTr00
338,Gabe Davis,BUF,WR,26,6,5,0,0,0,0,0,0,0,,0,18,12,129,10.75,1,0,0,1,,,19,30.9,33.9,24.9,,137,,DaviGa01
339,Luke Farrell,SFO,TE,28,17,4,0,0,0,0,0,0,0,,0,14,11,85,7.73,2,1,1,2,,,19,29.5,30.5,24.0,,64,,FarrLu00
340,Miles Sanders,DAL,RB,28,4,0,0,0,0,0,0,20,117,5.85,1,8,8,30,3.75,0,1,1,1,,,19,26.7,30.7,22.7,,85,,SandMi01
341,Mo Alie-Cox,IND,TE,32,17,6,0,0,0,0,0,0,0,,0,20,13,117,9.00,1,0,0,1,,,18,30.7,33.7,24.2,,66,,AlieMo00
342,Jerome Ford,CLE,RB,26,13,0,0,0,0,0,0,24,73,3.04,0,32,26,103,3.96,0,0,0,0,,,18,43.6,46.6,30.6,,86,,FordJe00
343,Noah Gray,KAN,TE,26,16,6,0,0,0,0,0,0,0,,0,37,21,178,8.48,0,0,0,0,,,18,38.8,41.8,28.3,,65,,GrayNo00
344,Isaiah Hodgins,NYG,WR,27,7,5,0,0,0,0,0,0,0,,0,19,10,115,11.50,1,0,0,1,,,18,27.5,30.5,22.5,,143,,HodgIs00
345,Jimmy Horn,CAR,WR,23,13,0,0,0,0,0,0,8,69,8.63,0,15,11,108,9.82,0,0,0,0,,,18,28.7,31.7,23.2,,142,,HornJi00
346,Zay Jones,ARI,WR,30,8,0,0,0,0,0,0,0,0,,0,18,12,183,15.25,0,0,0,0,,,18,30.3,33.3,24.3,,138,,JoneZa00
347,Jalen McMillan,TAM,WR,24,4,2,0,0,0,0,0,1,1,1.00,0,15,12,178,14.83,0,0,0,0,,,18,29.9,32.9,23.9,,141,,McMiJa01
348,Marquez Valdes-Scantling,2TM,WR,31,10,1,0,0,0,0,0,0,0,,0,29,14,120,8.57,1,1,0,1,,,18,32.0,35.0,25.0,,140,,ValdMa00
349,Jordan Whittington,LAR,WR,25,17,6,0,0,0,0,0,3,12,4.00,0,25,18,171,9.50,0,0,0,0,,,18,36.3,39.3,27.3,,139,,WhitJo04
350,Andrew Beck,NYJ,FB,29,17,2,0,0,0,0,0,1,5,5.00,0,9,6,45,7.50,2,0,0,2,,,17,23.0,23.0,20.0,,89,,BeckAn01
351,Raheem Mostert,LVR,RB,33,12,0,0,0,0,0,0,22,104,4.73,0,12,12,70,5.83,0,0,0,0,,,17,29.4,32.4,23.4,,87,,MostRa00
352,Drew Sample,CIN,TE,29,17,12,0,0,0,0,0,1,3,3.00,0,20,15,106,7.07,1,0,0,1,,,17,31.9,34.9,24.4,,68,,SampDr00
353,Raheim Sanders,CLE,RB,23,4,1,0,0,0,0,0,27,92,3.41,1,4,3,21,7.00,0,0,0,1,,,17,20.3,20.3,18.8,,88,,SandRa00
354,Ben Sinnott,WAS,TE,23,16,3,0,0,0,0,0,0,0,,0,13,11,114,10.36,1,0,0,1,,,17,28.4,31.4,22.9,,67,,SinnBe00
355,Tyler Badie,DEN,RB,25,16,0,0,0,0,0,0,8,23,2.88,0,31,19,141,7.42,0,0,0,0,,,16,35.4,38.4,25.9,,90,,BadiTy00
356,John Bates,WAS,TE,28,15,11,0,0,0,0,0,0,0,,0,16,11,103,9.36,1,0,0,1,,,16,27.3,30.3,21.8,,69,,BateJo00
357,Julian Hill,MIA,TE,25,14,11,0,0,0,0,0,0,0,,0,20,15,140,9.33,0,0,0,0,1,,16,31.0,34.0,23.5,,70,,HillJu02
358,Brycen Tremayne,CAR,WR,26,16,1,0,0,0,0,0,0,0,,0,18,14,160,11.43,0,1,0,0,,,16,30.0,33.0,23.0,,144,,TremBr00
359,Savion Williams,GNB,WR,24,12,0,0,0,0,0,0,11,37,3.36,0,10,10,78,7.80,1,1,1,1,,,16,25.5,26.5,20.5,,145,,WillSa01
360,Rasheen Ali,BAL,RB,24,15,0,0,0,0,0,0,7,24,3.43,0,11,9,68,7.56,1,0,0,1,,,15,24.2,24.2,19.7,,91,,AlixRa00
361,LeQuint Allen,JAX,RB,21,17,1,0,0,0,0,0,23,94,4.09,0,11,10,54,5.40,0,0,0,0,,,15,24.8,24.8,19.8,,92,,AlleLe01
362,Ashton Dulin,IND,WR,28,12,2,0,0,0,0,0,3,44,14.67,0,10,5,106,21.20,0,0,0,0,,,15,20.0,23.0,17.5,,147,,DuliAs00
363,Konata Mumpfield,LAR,WR,23,17,0,0,0,0,0,0,0,0,,0,23,10,92,9.20,1,0,0,1,,,15,25.2,25.2,20.2,,146,,MumpKo00
364,Mason Rudolph,PIT,QB,30,5,1,38,52,310,2,2,7,6,0.86,0,0,0,0,,0,1,1,0,,,15,15.0,21.0,17.0,,54,,RudoMa00
365,Brevyn Spann-Ford,DAL,TE,26,17,5,0,0,0,0,0,0,0,,0,13,9,90,10.00,1,0,0,1,,,15,24.0,24.0,19.5,,71,,SpanBr00
366,Cody White,SEA,WR,27,10,0,0,0,0,0,0,0,0,,0,4,3,90,30.00,1,0,0,1,,,15,18.0,18.0,16.5,,148,,WhitCo05
367,Grant Calcaterra,PHI,TE,27,15,6,0,0,0,0,0,0,0,,0,13,9,76,8.44,1,0,0,1,,,14,22.6,22.6,18.1,,72,,CalcGr00
368,Efton Chism,NWE,WR,24,8,1,0,0,0,0,0,0,0,,0,3,3,75,25.00,1,0,0,1,,,14,16.5,16.5,15.0,,151,,ChisEf00
369,C.J. Ham,MIN,FB,32,11,1,0,0,0,0,0,3,5,1.67,2,2,2,11,5.50,0,0,0,2,,,14,15.6,15.6,14.6,,95,,HamxC.00
370,Terrell Jennings,NWE,RB,24,7,0,0,0,0,0,0,23,73,3.17,1,1,1,9,9.00,0,0,0,1,,,14,15.2,15.2,14.7,,93,,JennTe00
371,Kameron Johnson,TAM,WR,23,17,0,0,0,0,0,0,2,13,6.50,0,7,4,64,16.00,1,2,0,1,,,14,17.7,17.7,15.7,,150,,JohnKa01
372,Trey Lance,LAC,QB,25,4,1,27,57,226,0,1,17,85,5.00,0,0,0,0,,0,1,1,0,,,14,13.5,15.5,14.5,,56,,LancTr00
373,Tanner McKee,PHI,QB,25,4,1,24,43,274,1,1,8,8,1.00,0,0,0,0,,0,0,0,0,,,14,13.8,14.8,14.8,,55,,McKeTa01
374,Dare Ogunbowale,HOU,RB,31,17,0,0,0,0,0,0,11,25,2.27,1,13,10,76,7.60,0,1,1,1,,,14,24.1,25.1,19.1,,94,,OgunDa00
375,Curtis Samuel,BUF,WR,29,6,0,0,0,0,0,0,0,0,,0,9,7,81,11.57,1,0,0,1,,,14,21.1,21.1,17.6,,149,,SamuCu00
376,Dont'e Thornton,LVR,WR,23,15,8,0,0,0,0,0,0,0,,0,30,10,135,13.50,0,0,0,0,,,14,23.5,26.5,18.5,,152,,ThorDo00
377,Braelon Allen,NYJ,RB,21,4,0,0,0,0,0,0,18,76,4.22,1,3,2,17,8.50,0,1,1,1,,,13,15.3,16.3,14.3,,96,,AlleBr05
378,John FitzPatrick,GNB,TE,25,15,4,0,0,0,0,0,0,0,,0,15,12,72,6.00,1,0,0,1,,,13,25.2,25.2,19.2,,73,,FitzJo00
379,George Holani,SEA,RB,26,11,0,0,0,0,0,0,22,73,3.32,1,2,2,15,7.50,0,1,1,1,,,13,14.8,15.8,13.8,,97,,HolaGe00
380,Allen Lazard,NYJ,WR,30,10,2,0,0,0,0,0,0,0,,0,18,10,70,7.00,1,0,0,1,,,13,23.0,23.0,18.0,,153,,LazaAl00
